month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202106,37076,"hermitage, tn",,390000,0.0269,0.1405,37,0,-0.4714,15,0.666666667,-0.444444444,40,-0.3333,-0.2308,0,-1,,12,2,-0.5,34,-0.2444,-0.4603,195.6609538,0.0281,0.2528,2201.5,0.1249,0.014,395245.7131,0.0084,0.137,71,-0.1341,-0.4662,0.918918919,-0.2973,0.0189
202106,16947,"troy, pa",*,199450,0.1397,0.2088,28,-0.0667,0.12,239,0.101382488,,4,0,-0.5,0,,,0,,,12,0.0909,1.4,89.13962166,0.1279,0.1119,2042,-0.0386,0.1622,263353.2808,0.011,0.3426,40,-0.0244,0.3333,0.428571429,0.0619,0.2286
202106,33154,"miami beach, fl",*,1110450,0.2005,,357,-0.1163,,99,0.020618557,,92,0.4375,-0.0417,20,-0.5,1.5,24,-0.1429,-0.6471,186,0.0391,4.4706,703.0534351,0.0695,0.3307,1513.5,0.009,0.0338,2804238.357,0.0859,0.3939,543,-0.0686,-0.232,0.521008403,0.0779,0.4705
202106,60611,"chicago, il",,504950,0.0099,-0.1952,909,-0.0706,0.2284,68,0.046153846,-0.055555556,256,-0.1351,-0.0303,0,-1,,132,-0.25,0.1786,203,-0.0333,1.0928,378.6486486,0.0122,-0.0844,1300,0.018,-0.0893,955169.6287,0.0444,-0.0615,1112,-0.064,0.3286,0.223322332,0.0086,0.0922
202106,33896,"davenport, fl",*,347950,0.0547,,50,-0.2958,,44.5,-0.232758621,,64,0.0667,-0.2727,12,0,0,8,0,-0.8667,185,-0.0609,0.4683,164.5605696,0.0451,0.1683,1909,0.0037,-0.0796,380487.944,0.0668,0.1433,235,-0.1231,-0.4598,3.7,0.9254,3.2922
202106,28311,"fayetteville, nc",*,217350,0.0109,0.0233,37,0.6087,-0.3934,26,-0.365853659,,56,0.2727,0.1667,0,,,0,-1,-1,132,0.0476,0.056,106.8108652,0.0411,0.1116,1950,0.0345,-0.0573,222473.9907,-0.0561,0.0435,169,0.1342,-0.0914,3.567567568,-1.9107,1.5184
202106,57032,"harrisburg, sd",,285000,0.0364,0.097,59,0.0926,-0.2532,36,0,-0.064935065,24,0.5,0.2,0,-1,,0,,-1,0,,,163.5109562,0.009,-0.0224,1765,0.0256,0.1171,318820.9604,0.0099,-0.1153,59,0.0926,-0.2532,0,0,0
202106,19146,"philadelphia, pa",,424825,-0.0557,-0.0443,229,0.0457,-0.1965,40,0.052631579,0.126760563,120,-0.1429,-0.3023,4,0,,124,0.1923,0.1923,258,-0.0719,3.4483,306.3524853,-0.0143,0.1866,1365,-0.025,-0.0885,521568.8107,-0.0557,0.0415,487,-0.0201,0.4198,1.126637555,-0.1428,0.9231
202106,59105,"billings, mt",,337450,-0.0999,0.164,23,0.2105,-0.5965,15.5,0.033333333,-0.5,40,0.4286,0,0,,,0,,-1,102,0.275,-0.1282,164.499453,-0.024,0.3081,2252,-0.038,-0.0421,421577.9891,-0.024,0.3719,125,0.2626,-0.2816,4.434782609,0.2243,2.3822
202106,92014,"del mar, ca",*,3795000,-0.0501,,66,-0.0294,-0.1538,257.5,0.170454545,,16,-0.3333,-0.4286,0,,,4,-0.5,-0.8,45,-0.1346,0.4063,1126.554953,-0.038,0.1243,3053,-0.0265,0.2553,5718046.81,-0.0377,0.5467,111,-0.075,0.0091,0.681818182,-0.0829,0.2716
202106,90094,"playa vista, ca",,1674500,0.0148,-0.055,49,-0.0755,-0.2097,107.5,0.235632184,0.14973262,20,0,0.25,0,-1,,4,-0.5,-0.6667,37,-0.0976,0.6087,818.4357542,0.0335,0.0133,1914.5,-0.0029,-0.0961,1724003.167,-0.0296,-0.07,86,-0.0851,0.0118,0.755102041,-0.0185,0.3841
202106,15139,"oakmont, pa",,587400,-0.0949,0.2368,17,0.1333,-0.4333,37,-0.478873239,-0.586592179,12,0.5,0.5,0,,,4,0,0,25,0.0417,0.1905,179.4147199,0.0256,0.0511,2449,-0.022,0.0781,651875.9194,-0.0621,0.2696,42,0.0769,-0.1765,1.470588235,-0.1294,0.7706
202106,70510,"abbeville, la",,184500,-0.0289,0.1531,40,-0.0698,-0.4286,89.5,0.226027397,-0.214912281,8,-0.3333,-0.5,0,,,8,-0.3333,-0.3333,25,-0.1935,-0.2424,86.33093525,-0.0311,0.0008,1996,0.0184,0.1605,214605.4146,0.0066,-0.0176,65,-0.1216,-0.3689,0.625,-0.0959,0.1536
202106,33076,"pompano beach, fl",*,909450,0.0453,,74,0.1385,-0.7075,34,0.416666667,,68,-0.32,-0.2273,4,0,0,12,0,-0.8,162,-0.0241,0.2756,275.5658396,0.0294,0.2603,3231.5,0.0401,0.0321,1205199.949,0.035,0.3775,236,0.0216,-0.3789,2.189189189,-0.3647,1.6872
202106,85209,"mesa, az",,400000,0.0003,0.2598,28,0.037,-0.2821,26,-0.1875,-0.428571429,52,-0.0714,0.0833,0,,,12,2,0.5,75,-0.1573,-0.3534,223.0736665,0.0569,0.1868,1891.5,0.0285,0.1113,430714.9425,0.0367,0.2871,103,-0.1121,-0.3355,2.678571429,-0.6177,-0.2958
202106,73107,"oklahoma city, ok",,229950,0.0157,-0.0356,34,0.2143,0.1333,34.5,0.112903226,-0.092105263,40,0.4286,1,0,,,20,0,0.25,52,0.1064,,139.584996,0.0111,0.0737,1570.5,-0.0245,-0.0951,245741.1964,-0.0197,0.0476,86,0.1467,1.8667,1.529411765,-0.1492,1.5294
202106,99603,"homer, ak",*,449000,-0.1835,0.2577,44,0.4194,-0.3714,51,0.545454545,,24,0.5,0.5,0,,,16,3,1,0,,,240.7750706,-0.057,0.2133,1904,-0.082,0.1197,511222.6318,-0.1657,-0.0155,44,0.4194,-0.3714,0,0,0
