RegionID,time,for_sale_inv,mean_listing_price_cut,median_listing_price_cut,median_sale_price,perc_listing_with_price_cut,newly_pending_listings,mean_days_to_pending,median_days_to_pending,median_listing_price,home_value,concrete prices_stationary,plywood prices_stationary
102001,2018-02,1386945.0,,,242084.0,,,73.0,33.0,272967.0,228816.0,0.0026080664666254805,0.052209538316065895
102001,2018-03,1444213.0,13106.9871,6333.3333,243641.0,0.1177,,67.0,26.0,279333.0,230080.0,0.02411725483900895,0.05343925896146029
102001,2018-04,1531525.0,13521.1971,7000.0,244719.0,0.122,,59.0,19.0,288667.0,231351.0,0.0008539183681612883,0.0006098901130311418
394304,2018-02,3782.0,,,137831.0,,977.0,83.0,56.0,143933.0,142458.0,0.0026080664666254805,0.052209538316065895
394304,2018-03,3876.0,7704.7687,5000.0,133729.0,0.1262,1158.0,79.0,50.0,144633.0,143058.0,0.02411725483900895,0.05343925896146029
394304,2018-04,4127.0,8133.5859,5000.0,134935.0,0.1242,1342.0,74.0,40.0,151167.0,144516.0,0.0008539183681612883,0.0006098901130311418
394308,2018-02,2468.0,,,186069.0,,,92.0,49.0,241467.0,193088.0,0.0026080664666254805,0.052209538316065895
394308,2018-03,2482.0,9717.1934,6200.0,187957.0,0.1208,,84.0,41.0,245818.0,194309.0,0.02411725483900895,0.05343925896146029
394308,2018-04,2591.0,10290.8644,6700.0,194230.0,0.1198,,75.0,25.0,247268.0,195517.0,0.0008539183681612883,0.0006098901130311418
394312,2018-02,3634.0,,,191804.0,,,73.0,37.0,240443.0,193248.0,0.0026080664666254805,0.052209538316065895
394312,2018-03,3710.0,6871.7345,5000.0,193685.0,0.1652,,66.0,28.0,245201.0,194537.0,0.02411725483900895,0.05343925896146029
394312,2018-04,3891.0,7386.4534,5000.0,197407.0,0.1707,,57.0,19.0,251719.0,195526.0,0.0008539183681612883,0.0006098901130311418
394318,2018-02,3579.0,,,186835.0,,,92.0,55.0,222297.0,199646.0,0.0026080664666254805,0.052209538316065895
394318,2018-03,3615.0,8706.2381,5908.3333,187845.0,0.1298,,86.0,50.0,224997.0,200653.0,0.02411725483900895,0.05343925896146029
394318,2018-04,3804.0,9151.0169,6275.0,186824.0,0.13,,85.0,45.0,232130.0,202037.0,0.0008539183681612883,0.0006098901130311418
394347,2018-02,28635.0,,,232278.0,,7491.0,58.0,21.0,314931.0,217024.0,0.0026080664666254805,0.052209538316065895
394347,2018-03,29750.0,11701.3908,7333.1667,233548.0,0.1248,8953.0,50.0,16.0,323597.0,218537.0,0.02411725483900895,0.05343925896146029
394347,2018-04,31134.0,11827.3221,8366.5,235398.0,0.1302,9772.0,41.0,11.0,335298.0,219965.0,0.0008539183681612883,0.0006098901130311418
394352,2018-02,3692.0,,,171081.0,,,84.0,39.0,222867.0,143564.0,0.0026080664666254805,0.052209538316065895
394352,2018-03,3763.0,8789.5992,5033.3333,167917.0,0.1024,,70.0,34.0,226200.0,144491.0,0.02411725483900895,0.05343925896146029
394352,2018-04,3847.0,8372.2478,5033.3333,169635.0,0.1092,,50.0,17.0,229900.0,145347.0,0.0008539183681612883,0.0006098901130311418
394355,2018-02,6799.0,,,305833.0,,2235.0,59.0,24.0,372426.0,315429.0,0.0026080664666254805,0.052209538316065895
394355,2018-03,7321.0,11445.5127,7005.0,304728.0,0.1585,2655.0,51.0,17.0,376870.0,315965.0,0.02411725483900895,0.05343925896146029
394355,2018-04,8219.0,11780.49,7671.6667,305043.0,0.1638,2981.0,40.0,11.0,381691.0,316524.0,0.0008539183681612883,0.0006098901130311418
394357,2018-02,2554.0,,,232821.0,,,69.0,33.0,251880.0,212226.0,0.0026080664666254805,0.052209538316065895
394357,2018-03,2755.0,8368.8845,5641.6667,232292.0,0.1408,,62.0,26.0,257300.0,212832.0,0.02411725483900895,0.05343925896146029
394357,2018-04,2965.0,8343.7605,5675.0,231476.0,0.1488,,54.0,24.0,263392.0,214591.0,0.0008539183681612883,0.0006098901130311418
394358,2018-02,12298.0,,,286095.0,,,76.0,45.0,299900.0,288554.0,0.0026080664666254805,0.052209538316065895
394358,2018-03,12794.0,11023.1283,8360.6667,287144.0,0.141,,72.0,38.0,304933.0,289610.0,0.02411725483900895,0.05343925896146029
394358,2018-04,13982.0,11485.0593,9134.0,287228.0,0.1441,,62.0,28.0,313300.0,290414.0,0.0008539183681612883,0.0006098901130311418
394367,2018-02,4193.0,,,201502.0,,,75.0,29.0,231600.0,193698.0,0.0026080664666254805,0.052209538316065895
